Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
British Journal of Criminology,00070955,2.72,2.513,NA,2.249,NA,2.244,2.243
British Journal of Educational Technology,00071013,NA,NA,NA,NA,NA,NA,2.354
British Journal of Management,10453172,NA,NA,NA,NA,2.235,NA,NA
British Journal of Mathematical and Statistical Psychology,00071102,NA,NA,NA,2.169,2.492,3.712,NA
British Journal of Political Science,00071234,2.681,NA,NA,NA,2.349,2.921,2.532
British Journal of Psychiatry,00071250,2.647,2.85,2.69,2.457,2.34,NA,2.156
British Journal of Psychology,00071269,NA,NA,NA,NA,NA,2.177,NA
British Journal of Sociology,00071315,NA,2.277,NA,2.754,2.115,2.234,2.123
British Journal of Sports Medicine,03063674,NA,NA,NA,2.313,2.576,2.709,3.401
British Journal of Surgery,00071323,2.497,2.759,2.542,2.703,2.477,2.465,2.241
British Medical Bulletin,00071420,NA,2.26,NA,NA,NA,NA,NA
Brookings Papers on Economic Activity,00072303,4.466,3.306,3.167,2.549,NA,3.49,2.985
Building and Environment,03601323,2.861,2.542,2.735,2.449,2.227,2.583,2.198
"Bulletin of Faculty of Pharmacy, Cairo University",11100931,NA,NA,NA,6.245,6.438,7.559,NA
Bulletin of Mathematical Sciences,16643607,NA,NA,NA,NA,NA,3.014,2.209
Bulletin of the American Mathematical Society,02730979,3.543,2.328,2.724,3.713,2.499,NA,NA
Bulletin of the American Meteorological Society,00030007,2.762,3.917,4.146,4.282,3.428,2.836,2.943
Bulletin of the Astronomical Society of India,03049523,NA,NA,NA,NA,NA,3.919,NA
Bulletin of the Biological Society of Washington,00970298,2.589,NA,NA,NA,NA,NA,NA
Bulletin of the History of Medicine,00075140,NA,NA,NA,2.213,NA,NA,NA
Bulletin of the World Health Organization,00429686,2.533,2.545,2.457,2.705,2.408,2.442,2.162
Bulletins of American Paleontology,00075779,NA,NA,3.155,NA,NA,NA,NA
Burnout Research,,NA,NA,NA,NA,NA,NA,2.668
Business and Human Rights Journal,20570198,NA,NA,NA,NA,NA,2.631,NA
Business and Information Systems Engineering,09376429,NA,NA,NA,NA,NA,2.195,NA
Business and Society,00076503,NA,NA,NA,NA,NA,NA,2.172
Business Ethics Quarterly,1052150X,NA,NA,NA,2.469,NA,NA,NA
Business Horizons,00076813,2.273,3.577,2.46,NA,NA,NA,NA
Business Strategy and the Environment,09644733,NA,NA,NA,NA,2.201,2.396,2.488
Ca-A Cancer Journal for Clinicians,00079235,54.152,73.223,79.852,54.83,69.222,90.709,100.014
CAD Computer Aided Design,00104485,2.399,2.766,2.958,2.424,2.136,2.281,2.202
Calculus of Variations and Partial Differential Equations,09442669,NA,2.358,NA,NA,NA,NA,NA
California Management Review,00081256,NA,NA,NA,NA,NA,2.257,2.165
Cambridge Journal of Economics,0309166X,2.583,NA,NA,2.162,NA,2.339,NA
"Cambridge Journal of Regions, Economy and Society",17521378,NA,NA,NA,NA,2.438,NA,2.623
Cambridge Law Journal,00081973,NA,NA,NA,NA,NA,2.198,NA
Canadian Poetry,07045646,NA,NA,NA,NA,NA,2.778,NA
Cancer,0008543X,NA,NA,NA,NA,NA,2.14,NA
